Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,41,42,40.1,40.6,123,199110,8045529.3
10/12/23,40.8,41,40.2,40.7,175,403750,16347487.2
10/11/23,42.5,42.9,40.7,40.8,93,45266,1869037.1
10/10/23,42,43,41.6,41.6,74,96830,4084638.9
10/9/23,43,43,41,42,129,78643,3265255.7
10/6/23,43.2,43.3,43,43,63,25674,1104911.3
10/5/23,43.7,43.9,43,43.3,50,149280,6501184.3
10/4/23,43.5,43.9,42.5,43.6,93,95189,4073505.5
10/3/23,43.8,44,43,43,160,307540,13297913.8
10/2/23,45,45,43.6,43.8,57,43166,1913834.8
9/27/23,43.9,45.8,43.9,45,84,433824,19518371.5
9/26/23,43.6,45,43.3,43.8,119,130300,5761618.7
9/25/23,44,45,43.6,43.7,68,47383,2117656.3
9/22/23,44,45.4,43.5,43.6,107,224948,9829047.7
9/21/23,44,45,44,44,96,62224,2742943.2
9/20/23,45.1,45.6,44,44.9,131,210236,9449369
9/19/23,46.3,46.3,45,45.2,88,70318,3176325.9
9/18/23,46.2,46.2,45.7,45.7,84,58367,2679825.4
9/15/23,46.3,46.5,46,46.2,49,58132,2691511.3
9/14/23,46,46.9,46,46.5,155,287164,13344819.1
9/13/23,45.5,46.9,45.5,46.1,189,545928,25124044
9/12/23,45.9,46.1,45.1,45.3,116,209549,9599049.4
9/11/23,46.5,47,45.5,45.7,159,269620,12603532.3
9/8/23,45,46.9,44.5,46.5,183,451998,20890506.5
9/7/23,45.5,46,44,45.2,68,48155,2186990.7
9/6/23,46.4,46.4,43.5,45,123,118226,5308874.5
9/5/23,44.7,46.5,44.7,46.3,210,340184,15599674
9/4/23,44.9,45,43.7,44.9,131,84440,3785408.5
9/1/23,43,45,42.8,43.2,146,132908,5730043.2
8/31/23,43.4,43.5,43,43.1,123,67307,2902040.8
8/29/23,43.6,44,43.3,43.5,90,97557,4245417
8/28/23,44.1,44.9,43.5,43.6,155,160435,7064449.4
8/25/23,44.2,45,43.9,44.1,137,122674,5409875.4
8/24/23,45.3,45.5,44,44.2,110,54238,2404536.2
8/23/23,44.4,45.5,43.8,45.1,321,1101343,49057620.2
8/22/23,44.2,44.5,43.8,43.9,208,258015,11350311.6
8/21/23,45,46,44.2,44.5,198,157580,7087622.6
8/18/23,45,46.4,44.7,45,192,247903,11217951.3
8/17/23,45.6,46.9,44.5,44.6,330,464422,20903824.6
8/16/23,46.5,47,45.5,46,202,213679,9877540.9
8/15/23,47.1,48,46.5,46.8,254,243099,11440825.3
8/14/23,49,49.7,47.5,48,303,1054481,50626857.9
8/11/23,48.7,50,48.4,49,242,2015976,99695347.1
8/10/23,48,49.5,48,48.7,139,164807,7999738.2
8/9/23,48.5,48.9,48.2,48.5,142,96369,4672941.1
8/8/23,49.5,49.9,48.4,48.5,168,178524,8690134.4
8/7/23,49,50.1,48.9,49.3,357,592444,29506423.8
8/4/23,49.5,49.5,48,48.8,307,608001,29515131
8/3/23,50.3,51,49.2,49.3,362,497656,24696975.3
8/2/23,50.5,51.9,50.1,50.4,267,408251,20907621.7
7/31/23,50.1,51,50.1,50.5,204,241937,12216284.4
7/28/23,51,52.3,50.1,50.3,358,342212,17600433.4
7/27/23,49,51.9,47.2,51.1,862,2093139,105220204
7/26/23,48.7,49.6,48,48.5,370,1537224,75249889.2
7/25/23,48.5,48.8,46.4,48.4,370,1130500,53987203.9
7/24/23,47.5,48.6,47.2,48.4,209,541014,26099633.4
7/21/23,48,49.4,47,48.5,316,772377,37558460.5
7/20/23,49.1,49.5,47.8,48.1,413,1295619,63272408.8
7/19/23,47,49.4,46.7,48.8,416,761720,36774342.8
7/18/23,47.7,48.1,46.8,47.6,350,439613,20826797
7/17/23,46.5,48.8,46.5,47.8,908,2429735,117152353.9
7/14/23,45,47,43.7,45.9,451,790715,36030215.6
7/13/23,43.9,45.4,43.9,44.5,144,106021,4732791.5
7/12/23,45.8,45.8,44.5,45.1,242,495578,22297198.4
7/11/23,45.3,45.8,44.3,44.7,286,288231,12895715
7/10/23,47,47,45.5,45.6,288,262041,12056929.4
7/7/23,45.5,46.9,45.5,46.6,521,1019878,47229136.3
7/6/23,45,45.9,43.7,45.1,443,683504,30579611.3
7/5/23,45.2,46.1,43,45,602,1181673,53222283.6
7/4/23,40.1,46.1,40.1,45.2,1309,3556871,154525069.8
6/28/23,38.4,39.6,38.3,39,137,251792,9815382.8
6/27/23,39.5,40.2,38.3,38.5,225,554829,21651684.7
6/26/23,38.4,39.8,37.1,39,244,431228,16577687.1
6/23/23,39.8,39.8,38.5,38.6,113,100689,3911346.7
6/22/23,39.1,39.8,38.5,39.1,140,189032,7365831.7
6/21/23,38,39.5,38,39.3,224,255901,9987935.8
6/20/23,36.5,38.4,36.5,38,118,178914,6793278.8
6/19/23,38.1,38.4,36.5,37.5,137,150113,5603073.4
6/16/23,39.3,39.5,37.5,38.1,227,267850,10242609.5
6/15/23,38,41,38,39.3,495,882091,35041154.1
6/14/23,36.2,38.1,36.2,37.8,238,388985,14503322.3
6/13/23,37.1,37.1,35.9,36.6,196,199796,7293225.9
6/12/23,35.9,37.2,35.5,37,266,253416,9254176.8
6/9/23,34.3,35.9,34,35.5,111,260591,9186860.8
6/8/23,34,34.6,33.5,34.4,108,233385,7955959.5
6/7/23,34.1,34.2,33.7,34.1,69,72831,2480606.5
6/6/23,34,34.7,33,33.6,80,52952,1773823.1
6/5/23,34.8,34.9,33.4,33.9,79,132522,4462594.4
6/2/23,33,35.5,33,33.9,183,173727,5930655.5
6/1/23,33,33.4,32,32.6,119,121715,3959826.8
5/31/23,32.3,32.3,31.2,31.7,27,7945,252429.8
5/30/23,32.4,32.4,30.5,31,119,162082,5027529.7
5/29/23,32,32.9,31.4,31.6,108,60295,1918358.8
5/26/23,33.8,33.8,31.9,32,78,41223,1320506.9
5/25/23,34,34,32,32.3,77,105030,3394753
5/24/23,31.2,34,31.2,33.8,233,251644,8298949.7
5/23/23,32.7,32.7,31,31.8,224,391803,12336543.7
5/22/23,32.6,33,31.5,32,224,156659,5035372.9
5/19/23,33.7,33.7,32.6,33,65,43656,1440417.5
5/18/23,33.9,33.9,33,33.1,83,37454,1243831.7
5/17/23,33.3,33.7,33,33.5,60,28491,953693.7
5/16/23,33.5,34.4,33,33.3,113,194956,6513174.6
5/15/23,33.9,34,33.5,33.5,99,96254,3227520.5
5/12/23,33.6,33.9,33.5,33.8,92,90513,3046730
5/11/23,33.5,34,33.4,33.5,162,122937,4122137.5
5/10/23,35,35,33.5,33.5,106,36757,1237223
5/9/23,35.1,35.2,33.5,34.3,123,72721,2501703.8
5/8/23,34.8,35.1,34.4,34.9,193,248152,8623953.1
5/4/23,33.4,34.5,33.4,34,75,177351,6012753.5
5/3/23,33.9,34,33.3,33.6,129,66867,2249767.7
5/2/23,35,35.2,32.8,33,386,486546,16292131
4/28/23,36.2,36.3,34.7,35.6,97,41393,1456518.7
4/27/23,36,36.4,34,35.6,243,315465,11146366.7
4/26/23,36.7,37.5,35.9,36,200,141881,5148945.6
4/25/23,37.2,37.2,36.1,37,101,53445,1957128.2
4/24/23,37.6,38,37,37,134,63431,2356105.2
4/21/23,38.3,38.3,37.6,37.8,74,55192,2088521.9
4/20/23,38.3,39,37.7,37.9,116,83260,3169157.6
4/19/23,39.8,39.8,38.2,38.3,71,28153,1083148
4/18/23,38.6,39.8,38.3,38.6,82,46920,1809344.8
4/17/23,40,40,38.7,39,104,78807,3091826.5
4/12/23,40.1,40.4,39.2,39.3,201,131129,5180780.1
4/11/23,39.5,40.3,38.9,40,231,351346,13918558.4
4/10/23,37.8,40.5,37.4,39.4,365,446304,17542746.3
4/6/23,35.3,37.5,35.3,37.3,95,121906,4495226.8
4/4/23,37,37,35.5,35.5,85,69612,2481243.3
4/3/23,37,37.4,35.6,35.9,178,136143,4940995.1
3/31/23,37,37.9,36.5,36.6,117,101080,3732937.1
3/30/23,36.9,38,36.4,36.9,104,130303,4829371.3
