Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,31.5,31.9,31.1,31.3,30,1695,53214.1
10/12/23,30,31.8,30,31.7,139,246391,7473109.1
10/11/23,30.9,31.8,29.5,30,58,56136,1687810.6
10/10/23,31.9,31.9,30,30.1,15,4012,120650.1
10/9/23,32.9,32.9,30,31,43,11198,343903.6
10/6/23,31.1,33.3,31,33,27,10841,355844.3
10/5/23,33,33.8,32,32.1,42,6826,222922.1
10/4/23,30.1,32.7,30,32.4,88,42272,1331469.4
10/3/23,32,34,30,30.4,110,53443,1635684.1
10/2/23,34.5,34.5,32,32.1,69,35895,1168296.9
9/27/23,34.4,34.5,33.1,33.6,29,5737,195108
9/26/23,34.7,34.8,34,34.4,15,1581,53901.5
9/25/23,33.3,34.8,33.3,33.8,41,17411,588640.6
9/22/23,33.9,34.4,33,33.3,65,12834,428054.3
9/21/23,34.1,35,33.5,33.6,58,24067,815638.4
9/20/23,34,35.9,34,34.6,36,9252,321786.4
9/19/23,35.8,35.8,33.1,34.7,89,64376,2196657.9
9/18/23,36.5,36.5,34.9,34.9,20,17571,615433.1
9/15/23,36.6,36.6,35,35.3,44,25688,905350.2
9/14/23,35.5,36.8,35.3,36.6,120,13180,474469.1
9/13/23,36.6,36.9,35.5,35.5,22,2303,82812
9/12/23,36.8,36.8,35,35.8,24,35883,1260914.9
9/11/23,36.2,36.9,35.1,35.7,45,20120,728613
9/8/23,36,37.5,36,37,164,137590,5078509.4
9/7/23,36.2,37.3,36.1,36.2,73,46933,1719272.9
9/6/23,37,38.5,35.8,36.1,161,162329,5962738.2
9/5/23,36.7,38,36.7,36.9,338,242588,9062527.3
9/4/23,37.2,37.4,35.7,36.6,100,208995,7537415.9
9/1/23,37,37,35.7,36.9,95,51785,1910093.2
8/31/23,35.9,37.4,35.3,36,96,13860,510314.8
8/29/23,35.9,37,35,35.9,125,67551,2475079.8
8/28/23,37.8,37.8,35.1,35.7,183,359649,12791544.4
8/25/23,38.9,38.9,36.1,37.1,279,138425,5139727.7
8/24/23,38.7,38.7,37,37.6,260,261581,9869254.6
8/23/23,37.8,40.5,37.3,38.9,1038,1696180,66966642
8/22/23,35.9,37.8,35,37.2,725,1323703,48648956.6
8/21/23,32.8,36,32.1,35.6,491,604562,21056329.8
8/18/23,31.8,32.9,30,32.5,317,309681,9885377.2
8/17/23,29.8,31.5,29,30.8,335,483686,14633993.1
8/16/23,27.1,30.5,27.1,29.7,246,310220,9233274.4
8/15/23,28,29.2,28,28,63,25849,735590
8/14/23,29.4,30,27.5,28.8,140,136620,3925531.3
8/11/23,28,30,27,29.1,442,822482,23695775.9
8/10/23,28,28,25,26.8,75,79849,2158625.5
8/9/23,28.1,28.1,26,27.6,27,6768,187092.7
8/8/23,28.5,28.9,27,27.7,95,31388,869696.3
8/7/23,29.4,29.4,28.2,28.2,80,21664,624982.2
8/4/23,28.8,29.5,27.5,28.9,252,495493,14135699.2
8/3/23,28,28.9,27.1,27.6,197,245018,6855441.4
8/2/23,26.5,28.5,26.4,28,415,708788,19500269.5
7/31/23,26,26.5,25.3,26.1,149,99979,2610655.5
7/28/23,26.5,26.6,25,25.3,175,115049,2966805.7
7/27/23,25,26.5,23.9,25.9,583,1192237,30193723.3
7/26/23,23.2,24,22.5,22.6,78,28829,655764.4
7/25/23,23,24.3,22.2,23.6,202,174793,4161226.7
7/24/23,21.6,24.7,21.3,22.7,322,340844,7705157.9
7/21/23,20,21.6,19.4,21.3,153,131230,2757042
7/20/23,19.9,21,19.5,20,156,102750,2079684
7/19/23,19,19.9,18.6,19.1,117,103618,2007188.9
7/18/23,18.8,19.1,18,18.5,65,114944,2146607
7/17/23,17.6,19,17.6,18.3,31,14101,257530.6
