Currency,Date,"Buy Rate","Sell Rate"

AUD,2023-10-12,202.4938,213.0745
AUD,2023-10-11,202.7183,213.3003
AUD,2023-10-10,202.3262,212.8896
AUD,2023-10-09,200.8745,211.3907
AUD,2023-10-06,201.2816,211.8310
AUD,2023-10-05,201.0017,211.4744
AUD,2023-10-04,198.7761,209.2730
AUD,2023-10-03,200.3037,210.8669
AUD,2023-10-02,202.6143,213.3102
AUD,2023-09-27,201.5142,212.1194
AUD,2023-09-26,202.9639,213.7160
AUD,2023-09-25,203.0298,213.8051
AUD,2023-09-22,202.7406,213.5057
AUD,2023-09-21,202.9987,213.7307
AUD,2023-09-20,204.0539,215.0005
AUD,2023-09-19,203.2228,214.1410
AUD,2023-09-18,202.8633,213.7303
AUD,2023-09-15,203.4317,214.4156
AUD,2023-09-14,203.1563,214.1087
AUD,2023-09-13,201.2554,212.3544
AUD,2023-09-12,202.0062,212.9224
AUD,2023-09-11,201.3324,212.1622
AUD,2023-09-08,200.4422,211.5086
AUD,2023-09-07,199.8715,211.0468
AUD,2023-09-06,199.6796,210.7293
AUD,2023-09-05,200.8730,212.0386
AUD,2023-09-04,201.4479,212.5816
AUD,2023-09-01,201.7785,212.7842
AUD,2023-08-31,202.8721,214.0315
AUD,2023-08-29,203.2401,214.1617
AUD,2023-08-28,202.6805,213.8403
AUD,2023-08-25,202.1272,213.3214
AUD,2023-08-24,203.9460,215.4626
AUD,2023-08-23,202.9743,214.4433
AUD,2023-08-22,201.8337,213.2228
AUD,2023-08-21,201.4148,212.5240
AUD,2023-08-18,201.7925,213.0536
AUD,2023-08-17,199.3776,210.8337
AUD,2023-08-16,201.1150,212.9236
AUD,2023-08-15,202.8321,214.5601
AUD,2023-08-14,201.3929,213.1683
AUD,2023-08-11,203.2942,214.9952
AUD,2023-08-10,203.5320,215.2867
AUD,2023-08-09,204.2614,216.2350
AUD,2023-08-08,205.2470,217.1071
AUD,2023-08-07,206.0556,218.3212
AUD,2023-08-04,203.9023,216.2267
AUD,2023-08-03,199.3123,212.2004
AUD,2023-08-02,202.7244,214.5911
AUD,2023-07-31,213.7650,225.6458
AUD,2023-07-28,214.6295,226.2904
AUD,2023-07-27,218.3022,229.8686
AUD,2023-07-26,217.5138,229.5544
AUD,2023-07-25,216.9124,229.0989
AUD,2023-07-24,215.0743,227.2222
AUD,2023-07-21,214.7595,226.8241
AUD,2023-07-20,215.1979,227.2526
AUD,2023-07-19,213.1364,225.1641
AUD,2023-07-18,214.0979,225.9501
AUD,2023-07-17,212.1166,224.9611
AUD,2023-07-14,212.6478,225.2627
AUD,2023-07-13,208.4391,220.9439
AUD,2023-07-12,204.9170,217.4233
AUD,2023-07-11,202.6808,214.9580
AUD,2023-07-10,201.4213,214.0219
AUD,2023-07-07,199.1429,212.0116
AUD,2023-07-06,198.9074,211.5951
AUD,2023-07-05,198.5938,211.3416
AUD,2023-07-04,199.0339,211.7253
AUD,2023-06-28,198.8845,211.6214
AUD,2023-06-27,201.1436,214.0464
AUD,2023-06-26,199.2038,212.2735
AUD,2023-06-23,199.6485,212.7740
AUD,2023-06-22,201.9327,214.9804
AUD,2023-06-21,201.2989,215.0056
AUD,2023-06-20,201.6172,215.5301
AUD,2023-06-19,202.5061,217.0708
AUD,2023-06-16,205.9715,221.0936
AUD,2023-06-15,210.8472,224.9709
AUD,2023-06-14,204.0437,217.5082
AUD,2023-06-13,197.7478,210.4009
AUD,2023-06-12,194.2356,205.9334
AUD,2023-06-09,191.5961,203.3187
AUD,2023-06-08,189.0321,200.8295
AUD,2023-06-07,189.0180,200.6037
AUD,2023-06-06,187.2104,198.6967
AUD,2023-06-05,187.2054,198.6841
AUD,2023-06-02,188.2493,199.7215
AUD,2023-06-01,183.5776,194.9105
AUD,2023-05-31,185.5885,197.1168
AUD,2023-05-30,188.4064,199.8621
AUD,2023-05-29,188.4531,199.5664
AUD,2023-05-26,190.8699,202.5606
AUD,2023-05-25,193.2296,204.5749
AUD,2023-05-24,195.4761,206.9698
AUD,2023-05-23,197.4736,209.3056
AUD,2023-05-22,198.2578,210.0822
AUD,2023-05-19,198.3317,209.9370
AUD,2023-05-18,197.7384,209.3946
AUD,2023-05-17,200.3272,212.1423
AUD,2023-05-16,202.7434,214.9164
AUD,2023-05-15,202.7007,214.7941
AUD,2023-05-12,204.0061,215.9564
AUD,2023-05-11,207.8476,220.2149
AUD,2023-05-10,209.0854,221.4056
AUD,2023-05-09,209.8163,222.1010
AUD,2023-05-08,209.9038,222.3153
AUD,2023-05-04,207.6816,220.0472
AUD,2023-05-03,207.6893,220.2296
AUD,2023-05-02,206.9287,219.4779
AUD,2023-04-28,206.9157,219.4647
AUD,2023-04-27,206.1787,218.7007
AUD,2023-04-26,206.3097,219.0377
AUD,2023-04-25,208.4177,221.1662
AUD,2023-04-24,208.4323,221.1694
AUD,2023-04-21,209.4321,222.3314
AUD,2023-04-20,208.5904,221.5571
AUD,2023-04-19,209.0926,222.1367
AUD,2023-04-18,208.6174,221.6759
AUD,2023-04-17,207.7512,220.9203
AUD,2023-04-12,206.1017,219.3438
AUD,2023-04-11,206.3021,219.7710
AUD,2023-04-10,206.3360,219.8193
AUD,2023-04-06,208.5809,222.2199
AUD,2023-04-04,211.2530,225.2959
AUD,2023-04-03,210.5010,224.3179
AUD,2023-03-31,212.9934,226.9808
AUD,2023-03-30,211.1422,225.0770
AUD,2023-03-29,211.2584,225.2694
AUD,2023-03-28,209.9155,223.9014
AUD,2023-03-27,208.1717,222.2555
AUD,2023-03-24,209.0810,223.2027
AUD,2023-03-23,207.9029,221.9914
AUD,2023-03-22,207.6472,222.0946
AUD,2023-03-21,210.8492,225.8025
AUD,2023-03-20,221.6230,236.3077
AUD,2023-03-17,221.6694,236.5073
AUD,2023-03-16,217.1850,231.1767
AUD,2023-03-15,218.4152,232.5329
AUD,2023-03-14,211.4215,225.2916
AUD,2023-03-13,206.1508,219.9947
AUD,2023-03-10,203.4530,218.3542
AUD,2023-03-09,202.0831,216.5679
AUD,2023-03-08,205.6776,219.6799
AUD,2023-03-07,213.5402,227.9539
AUD,2023-03-03,223.2872,236.1295
AUD,2023-03-02,229.8286,242.0736
AUD,2023-03-01,235.2514,246.3390
AUD,2023-02-28,239.1034,249.7389
AUD,2023-02-27,239.0300,249.6290
AUD,2023-02-24,242.9220,253.6545
AUD,2023-02-23,243.0344,254.0433
AUD,2023-02-22,243.6474,254.2432
AUD,2023-02-21,246.5416,257.0489
AUD,2023-02-20,245.7828,256.5668
AUD,2023-02-17,244.6325,255.4601
AUD,2023-02-16,246.6190,257.5736
AUD,2023-02-15,248.4107,259.3110
AUD,2023-02-14,248.1567,259.3014
AUD,2023-02-13,246.5875,257.6895
AUD,2023-02-10,247.4574,258.3672
AUD,2023-02-09,248.0494,259.2393
AUD,2023-02-08,248.5958,259.7429
AUD,2023-02-07,247.0173,258.3136
AUD,2023-02-06,247.3454,258.4125
AUD,2023-02-03,252.2743,263.4007
AUD,2023-02-02,255.6705,266.9872
AUD,2023-02-01,252.1743,263.6168
AUD,2023-01-31,252.0998,263.6985
AUD,2023-01-30,253.9530,265.4499
AUD,2023-01-27,254.8658,266.3956
AUD,2023-01-26,254.5779,266.0944
AUD,2023-01-25,254.0754,265.5865
AUD,2023-01-24,252.0349,263.4667
AUD,2023-01-23,249.9128,261.4988
AUD,2023-01-20,247.9735,259.2739
AUD,2023-01-19,246.9738,258.4901
AUD,2023-01-18,250.1957,261.5669
AUD,2023-01-17,249.3281,260.7265
AUD,2023-01-13,248.8983,260.3581
AUD,2023-01-12,247.6197,258.9265
AUD,2023-01-11,246.9687,258.2666
AUD,2023-01-10,247.3216,258.6864
AUD,2023-01-09,247.6761,259.1832
AUD,2023-01-05,244.2524,255.4470
AUD,2023-01-04,242.3472,253.7626
AUD,2023-01-03,243.9111,255.1195
AUD,2023-01-02,243.5216,255.1389
AUD,2022-12-30,242.5100,253.7624
AUD,2022-12-29,241.3526,252.7968
AUD,2022-12-28,241.1462,252.6119
AUD,2022-12-27,241.4277,252.7524
AUD,2022-12-23,239.1840,250.5942
AUD,2022-12-22,241.1938,252.5843
AUD,2022-12-21,239.2174,250.1862
AUD,2022-12-20,239.8122,251.1981
AUD,2022-12-19,240.2655,251.5859
AUD,2022-12-16,240.2092,252.0720
AUD,2022-12-15,244.6221,256.2274
AUD,2022-12-14,244.3178,255.7635
AUD,2022-12-13,241.5789,253.0711
AUD,2022-12-12,242.0740,253.4509
AUD,2022-12-09,242.8599,254.2166
AUD,2022-12-08,240.2264,251.4550
AUD,2022-12-06,240.2248,251.5927
AUD,2022-12-05,244.8490,256.2898
AUD,2022-12-02,243.5597,254.8833
AUD,2022-12-01,243.2321,254.6857
AUD,2022-11-30,239.3383,250.7451
AUD,2022-11-29,239.1567,250.2936
AUD,2022-11-28,239.2224,250.3343
AUD,2022-11-25,242.0396,253.3277
AUD,2022-11-24,241.8465,253.1914
AUD,2022-11-23,237.7070,249.0166
AUD,2022-11-22,236.7264,248.0444
AUD,2022-11-21,237.8336,249.1314
AUD,2022-11-18,239.9933,251.3922
AUD,2022-11-17,240.2516,251.6132
AUD,2022-11-16,241.5556,253.0234
AUD,2022-11-15,239.7901,251.0798
AUD,2022-11-14,239.4187,250.5767
AUD,2022-11-11,236.2351,247.3726
AUD,2022-11-10,229.6191,240.8137
AUD,2022-11-09,232.7061,243.7121
AUD,2022-11-08,231.3146,242.4501
AUD,2022-11-04,226.0160,236.8064
AUD,2022-11-03,227.4681,238.3424
AUD,2022-11-02,229.3380,240.2561
AUD,2022-11-01,229.9490,240.9887
AUD,2022-10-31,229.3291,240.4136
AUD,2022-10-28,231.1240,242.2078
AUD,2022-10-27,231.8516,243.0115
AUD,2022-10-26,228.4253,239.4997
AUD,2022-10-25,225.9663,236.9278
AUD,2022-10-21,224.1226,235.0303
AUD,2022-10-20,222.9200,233.7884
AUD,2022-10-19,225.6737,236.6336
AUD,2022-10-18,224.5402,235.3986
AUD,2022-10-17,222.5011,233.3625
AUD,2022-10-14,225.9723,236.8786
AUD,2022-10-13,223.7340,234.5339
AUD,2022-10-12,222.8903,233.6592
AUD,2022-10-11,223.1069,233.9068
AUD,2022-10-07,228.9209,239.7898
AUD,2022-10-06,232.6642,243.6522
AUD,2022-10-05,230.9419,241.9962
AUD,2022-10-04,231.4984,242.4453
AUD,2022-10-03,229.1246,240.1335
AUD,2022-09-30,231.3223,242.2604
AUD,2022-09-29,230.8761,241.7927
AUD,2022-09-28,228.1478,238.9841
AUD,2022-09-27,230.8980,241.8314
AUD,2022-09-26,232.1253,243.0960
AUD,2022-09-23,236.1951,247.2916
AUD,2022-09-22,234.9426,245.9917
AUD,2022-09-21,238.3028,249.4330
AUD,2022-09-20,239.7194,250.9472
AUD,2022-09-19,239.1139,250.3202
AUD,2022-09-16,239.0458,250.2742
AUD,2022-09-15,240.7368,252.0049
AUD,2022-09-14,239.7721,251.0159
AUD,2022-09-13,244.3659,256.0126
AUD,2022-09-12,242.9570,254.5666
AUD,2022-09-09,242.2932,253.7226
AUD,2022-09-08,239.5772,250.8725
AUD,2022-09-07,238.2419,249.9050
AUD,2022-09-06,241.8746,253.7201
AUD,2022-09-05,240.7081,252.5362
AUD,2022-09-02,240.8568,252.6637
AUD,2022-09-01,241.5501,253.3877
AUD,2022-08-31,243.6261,255.5394
AUD,2022-08-30,244.0634,255.9861
AUD,2022-08-29,243.3945,255.3067
AUD,2022-08-26,247.1856,259.2237
AUD,2022-08-25,246.3211,258.1647
AUD,2022-08-24,244.8442,256.6355
AUD,2022-08-23,244.5021,256.4391
AUD,2022-08-22,244.6746,256.5662
AUD,2022-08-19,245.1356,257.1230
AUD,2022-08-18,245.8600,257.8056
AUD,2022-08-17,248.4011,260.3308
AUD,2022-08-16,249.3193,261.3907
AUD,2022-08-15,251.8902,264.0291
AUD,2022-08-12,251.9463,263.9965
AUD,2022-08-10,246.7568,258.8081
AUD,2022-08-09,247.6772,259.7439
AUD,2022-08-08,245.6506,257.4015
AUD,2022-08-05,246.9783,258.7954
AUD,2022-08-04,246.7351,258.4473
AUD,2022-08-03,245.5791,257.3277
AUD,2022-08-02,248.7958,260.4989
AUD,2022-08-01,247.9039,259.5715
AUD,2022-07-29,248.1872,259.8727
AUD,2022-07-28,248.1257,259.4611
AUD,2022-07-27,245.7672,256.9969
AUD,2022-07-26,247.4625,258.7512
AUD,2022-07-25,245.1994,256.4107
AUD,2022-07-22,245.5822,256.8061
AUD,2022-07-21,244.8104,256.2894
AUD,2022-07-20,245.7616,257.0908
AUD,2022-07-19,242.2331,253.5875
AUD,2022-07-18,241.5946,252.9158
AUD,2022-07-15,239.3498,250.5286
AUD,2022-07-14,240.7167,251.8100
AUD,2022-07-12,238.2609,249.7012
AUD,2022-07-11,242.2046,253.6104
AUD,2022-07-08,242.3098,253.4198
AUD,2022-07-07,241.1183,252.7369
AUD,2022-07-06,240.5598,252.1803
