Date,Loan Rate
01.01.1990,18.7
01.02.1990,18.7
01.03.1990,18.7
01.04.1990,18.7
01.05.1990,18.7
01.06.1990,18.7
01.07.1990,18.7
01.08.1990,18.7
01.09.1990,18.7
01.10.1990,18.7
01.11.1990,18.7
01.12.1990,18.7
01.01.1991,19.3
01.02.1991,19.3
01.03.1991,19.3
01.04.1991,19.3
01.05.1991,19.3
01.06.1991,19.3
01.07.1991,19.3
01.08.1991,19.3
01.09.1991,19.3
01.10.1991,19.3
01.11.1991,19.3
01.12.1991,19.3
01.01.1992,19.5
01.02.1992,19.5
01.03.1992,19.5
01.04.1992,19.5
01.05.1992,19.5
01.06.1992,19.5
01.07.1992,19.5
01.08.1992,19.5
01.09.1992,19.5
01.10.1992,19.5
01.11.1992,19.5
01.12.1992,19.5
01.01.1993,20.8
01.02.1993,20.8
01.03.1993,20.8
01.04.1993,20.8
01.05.1993,20.8
01.06.1993,20.8
01.07.1993,20.8
01.08.1993,20.8
01.09.1993,20.8
01.10.1993,20.8
01.11.1993,20.8
01.12.1993,20.8
01.01.1994,19.7
01.02.1994,19.7
01.03.1994,19.7
01.04.1994,19.7
01.05.1994,19.7
01.06.1994,19.7
01.07.1994,19.7
01.08.1994,19.7
01.09.1994,19.7
01.10.1994,19.7
01.11.1994,19.7
01.12.1994,19.7
01.01.1995,20.7
01.02.1995,20.7
01.03.1995,20.7
01.04.1995,20.7
01.05.1995,20.7
01.06.1995,20.7
01.07.1995,20.7
01.08.1995,20.7
01.09.1995,20.7
01.10.1995,20.7
01.11.1995,20.7
01.12.1995,20.7
01.01.1996,21
01.02.1996,21
01.03.1996,21
01.04.1996,21
01.05.1996,21
01.06.1996,21
01.07.1996,21
01.08.1996,21
01.09.1996,21
01.10.1996,21
01.11.1996,21
01.12.1996,21
01.01.1997,20.1
01.02.1997,20.1
01.03.1997,20.1
01.04.1997,20.1
01.05.1997,20.1
01.06.1997,20.1
01.07.1997,20.1
01.08.1997,20.1
01.09.1997,20.1
01.10.1997,20.1
01.11.1997,20.1
01.12.1997,20.1
01.01.1998,19.4
01.02.1998,19.4
01.03.1998,19.4
01.04.1998,19.4
01.05.1998,19.4
01.06.1998,19.4
01.07.1998,19.4
01.08.1998,19.4
01.09.1998,19.4
01.10.1998,19.4
01.11.1998,19.4
01.12.1998,19.4
01.01.1999,18.9
01.02.1999,18.9
01.03.1999,18.9
01.04.1999,18.9
01.05.1999,18.9
01.06.1999,18.9
01.07.1999,18.9
01.08.1999,18.9
01.09.1999,18.9
01.10.1999,18.9
01.11.1999,18.9
01.12.1999,18.9
05.01.2000,13.48
21.01.2000,13.3
06.04.2000,13
09.05.2000,13
11.05.2000,13.04
12.05.2000,13.25
16.05.2000,13.75
19.05.2000,14
08.06.2000,15
26.07.2000,15
31.08.2000,15
26.09.2000,15.5
29.09.2000,16
08.11.2000,18
21.11.2000,20
18.01.2001,23
26.02.2001,22
03.04.2001,21.5
02.07.2001,19.5
02.08.2001,18.5
03.09.2001,15
17.10.2001,14
19.10.2001,14
20.03.2002,13.5
21.03.2002,13.6
22.03.2002,13.65
04.04.2002,13.85
04.06.2002,13.75
26.07.2002,12.75
22.11.2002,11.75
07.01.2003,11
09.05.2003,10.25
15.08.2003,9.5
16.10.2003,8.5
10.11.2004,9
13.05.2005,9.25
15.06.2005,9.75
13.09.2005,10
22.12.2005,10.25
16.06.2006,10.5
24.07.2006,10.625
28.09.2006,11.125
15.12.2006,11.5
23.02.2007,12
03.12.2007,12
17.10.2008,12
28.11.2008,12
12.01.2009,12
11.02.2009,11.75
27.02.2009,11.75
18.03.2009,11.75
22.04.2009,11.75
21.05.2009,11.5
16.06.2009,11
11.09.2009,10.5
18.11.2009,9.75
09.07.2010,9.5
20.08.2010,9
11.01.2011,8.5
29.04.2011,8.5
03.02.2012,9
05.04.2012,9.75
12.12.2012,9.5
10.05.2013,9
01.07.2013,9
15.10.2013,8.5
02.01.2014,8
15.04.2015,7.5
16.01.2016,7.5
19.02.2016,8
28.07.2016,8.5
24.03.2017,8.75
04.04.2018,8.5
14.11.2018,9
16.11.2018,9
01.03.2019,9
31.05.2019,8.5
23.08.2019,8
30.01.2020,7.5
16.03.2020,7.5
17.03.2020,7.25
03.04.2020,7
06.05.2020,6.5
16.06.2020,6.5
09.07.2020,5.5
19.08.2021,6
01.09.2021,6
20.01.2022,6.5
04.03.2022,7.5
08.04.2022,14.5
07.07.2022,15.5
03.03.2023,16.5
01.06.2023 ,14
06.07.2023 ,12
16.08.2023 ,12
01.09.2023 ,12
01.10.2023 ,12
