Label,Year,Month,Close (Rs.),Loan Rate
SUN.N0000,1990,3,12.5,18.7
GREG.N0000,1990,4,0.5,18.7
SELI.N0000,1991,1,550.0,19.3
SHAL.N0000,1991,2,575.0,19.3
KZOO.N0000,1991,4,125.0,19.3
GOOD.N0000,1991,7,535.0,19.3
JKH.N0000,1991,7,0.0,19.3
LPRT.N0000,1991,7,28.25,19.3
PARA.N0000,1991,7,45.75,19.3
ARPI.N0000,1991,8,70.5,19.3
BINN.N0000,1991,8,49.5,19.3
BRWN.N0000,1991,8,197.5,19.3
CARG.N0000,1991,8,350.0,19.3
CFIN.N0000,1991,8,230.0,19.3
CFLB.N0000,1991,8,28.25,19.3
CFT.N0000,1991,8,85.0,19.3
CIND.N0000,1991,8,26.5,19.3
COMB.N0000,1991,8,240.0,19.3
CTC.N0000,1991,8,49.75,19.3
CTCE.N0000,1991,8,48.5,19.3
CTHR.N0000,1991,8,130.0,19.3
DFCC.N0000,1991,8,1450.0,19.3
DIPD.N0000,1991,8,165.0,19.3
EAST.N0000,1991,8,34.0,19.3
GHLL.N0000,1991,8,6.125,19.3
HAYC.N0000,1991,8,175.0,19.3
HAYL.N0000,1991,8,547.5,19.3
HDEV.N0000,1991,8,12.0,19.3
HUEJ.N0000,1991,8,50.0,19.3
JKH.N0000,1991,8,306.625,19.3
LCEM.N0000,1991,8,7.0,19.3
LDEV.N0000,1991,8,54.0,19.3
LMF.N0000,1991,8,35.0,19.3
MIRA.N0000,1991,8,60.0,19.3
MORI.N0000,1991,8,250.0,19.3
OSEA.N0000,1991,8,12.75,19.3
PDL.N0000,1991,8,18.0,19.3
RICH.N0000,1991,8,385.0,19.3
SAMP.N0000,1991,8,23.0,19.3
SEYB.N0000,1991,8,40.875,19.3
SHOT.N0000,1991,8,46.0,19.3
SUGA.N0000,1991,8,13.0,19.3
TILE.N0000,1991,8,56.5,19.3
ACL.N0000,1991,9,100.0,19.3
ASIR.N0000,1991,9,20.0,19.3
BHR.N0000,1991,9,53.0,19.3
CARG.N0000,1991,9,330.0,19.3
CFIN.N0000,1991,9,210.0,19.3
CFLB.N0000,1991,9,27.0,19.3
CHOU.N0000,1991,9,18.5,19.3
CIC.N0000,1991,9,111.0,19.3
CIND.N0000,1991,9,24.0,19.3
CINV.N0000,1991,9,237.5,19.3
COMB.N0000,1991,9,220.0,19.3
CTC.N0000,1991,9,45.0,19.3
CTCE.N0000,1991,9,46.0,19.3
EQIT.N0000,1991,9,20.0,19.3
GHLL.N0000,1991,9,6.25,19.3
GRAN.N0000,1991,9,125.0,19.3
HAYC.N0000,1991,9,140.375,19.3
HAYL.N0000,1991,9,405.0,19.3
HDEV.N0000,1991,9,10.75,19.3
HNB.N0000,1991,9,360.0,19.3
JKH.N0000,1991,9,281.5,19.3
KAPI.N0000,1991,9,17.0,19.3
KZOO.N0000,1991,9,125.0,19.3
LCEM.N0000,1991,9,6.25,19.3
LMF.N0000,1991,9,32.0,19.3
MORI.N0000,1991,9,250.0,19.3
NEST.N0000,1991,9,21.0,19.3
ONAL.N0000,1991,9,16.25,19.3
PARA.N0000,1991,9,40.0,19.3
PARQ.N0000,1991,9,90.0,19.3
PDL.N0000,1991,9,18.0,19.3
RICH.N0000,1991,9,360.0,19.3
SAMP.N0000,1991,9,20.0,19.3
SEYB.N0000,1991,9,45.0,19.3
SHOT.N0000,1991,9,39.125,19.3
SPEN.N0000,1991,9,317.5,19.3
SUGA.N0000,1991,9,12.0,19.3
TILE.N0000,1991,9,53.5,19.3
TKYO.N0000,1991,9,21.125,19.3
ACL.N0000,1991,10,119.0,19.3
ASIR.N0000,1991,10,21.0,19.3
BHR.N0000,1991,10,59.5,19.3
CARG.N0000,1991,10,350.0,19.3
CFIN.N0000,1991,10,210.0,19.3
CFLB.N0000,1991,10,25.0,19.3
CHOU.N0000,1991,10,16.5,19.3
CIC.N0000,1991,10,111.0,19.3
CIND.N0000,1991,10,29.0,19.3
CINV.N0000,1991,10,225.375,19.3
COMB.N0000,1991,10,238.0,19.3
CTC.N0000,1991,10,46.25,19.3
CTCE.N0000,1991,10,46.25,19.3
EAST.N0000,1991,10,34.0,19.3
EQIT.N0000,1991,10,19.0,19.3
GHLL.N0000,1991,10,6.25,19.3
GRAN.N0000,1991,10,136.0,19.3
HAYC.N0000,1991,10,149.625,19.3
HAYL.N0000,1991,10,440.625,19.3
HDEV.N0000,1991,10,10.5,19.3
HNB.N0000,1991,10,362.5,19.3
JKH.N0000,1991,10,301.0,19.3
KAPI.N0000,1991,10,16.75,19.3
LCEM.N0000,1991,10,6.0,19.3
LMF.N0000,1991,10,36.0,19.3
LPRT.N0000,1991,10,28.0,19.3
MBSL.R0000,1991,10,84.0,19.3
MORI.N0000,1991,10,242.625,19.3
NEST.N0000,1991,10,22.5,19.3
ONAL.N0000,1991,10,17.0,19.3
OSEA.N0000,1991,10,13.0,19.3
PARA.N0000,1991,10,75.0,19.3
PARQ.N0000,1991,10,125.0,19.3
PDL.N0000,1991,10,17.5,19.3
RICH.N0000,1991,10,355.0,19.3
SAMP.N0000,1991,10,20.0,19.3
SELI.N0000,1991,10,0.0,19.3
SEYB.N0000,1991,10,44.375,19.3
SHOT.N0000,1991,10,32.125,19.3
SPEN.N0000,1991,10,318.0,19.3
SUGA.N0000,1991,10,12.25,19.3
TILE.N0000,1991,10,53.75,19.3
TKYO.N0000,1991,10,18.5,19.3
ACL.N0000,1991,11,130.0,19.3
ARPI.N0000,1991,11,70.5,19.3
ASIR.N0000,1991,11,23.0,19.3
BHR.N0000,1991,11,70.0,19.3
BRWN.N0000,1991,11,180.0,19.3
