Year,Month,Inflation
1954,January,1.3
1954,February,1.2
1954,March,1.2
1954,April,0.4
1954,May,1
1954,June,0.1
1954,July,-1.8
1954,August,-5.1
1954,September,-4.4
1954,October,-1.7
1954,November,0.7
1954,December,0.8
1955,January,0.1
1955,February,-0.2
1955,March,-0.3
1955,April,1
1955,May,-0.7
1955,June,-2.2
1955,July,-1
1955,August,-0.2
1955,September,-1.1
1955,October,-1
1955,November,-0.8
1955,December,-0.3
1956,January,0
1956,February,-0.7
1956,March,0
1956,April,0.2
1956,May,-0.6
1956,June,-0.1
1956,July,-1
1956,August,-1
1956,September,0
1956,October,1
1956,November,0.2
1956,December,-1.2
1957,January,-0.9
1957,February,1
1957,March,1.3
1957,April,1
1957,May,2.9
1957,June,3.1
1957,July,4.4
1957,August,3.5
1957,September,2.9
1957,October,2.8
1957,November,4.2
1957,December,5.3
1958,January,5.7
1958,February,5
1958,March,3.9
1958,April,2.3
1958,May,1.8
1958,June,1.4
1958,July,-0.4
1958,August,2
1958,September,2.2
1958,October,2
1958,November,0.5
1958,December,-1.3
1959,January,-1.2
1959,February,-2.2
1959,March,-0.4
1959,April,1.1
1959,May,0.2
1959,June,1.6
1959,July,2.3
1959,August,0.3
1959,September,-0.1
1959,October,-0.8
1959,November,0.6
1959,December,1.4
1960,January,0.4
1960,February,1.7
1960,March,1.1
1960,April,-1.7
1960,May,-2.8
1960,June,-3.5
1960,July,-4.2
1960,August,-3.8
1960,September,-1.7
1960,October,-2.1
1960,November,-1.3
1960,December,-1.5
1961,January,-1.2
1961,February,-1.3
1961,March,-2.2
1961,April,-0.1
1961,May,1.6
1961,June,2
1961,July,3.3
1961,August,4.7
1961,September,2.7
1961,October,2.6
1961,November,1
1961,December,2
1962,January,1.3
1962,February,1.9
1962,March,2.8
1962,April,2.3
1962,May,2.4
1962,June,2
1962,July,1.8
1962,August,0.8
1962,September,0.8
1962,October,0.6
1962,November,1.2
1962,December,0.2
1963,January,1.5
1963,February,1.8
1963,March,1.7
1963,April,2.6
1963,May,2.4
1963,June,2.4
1963,July,2.7
1963,August,2.1
1963,September,1.7
1963,October,2.5
1963,November,2.4
1963,December,3.7
1964,January,3.8
1964,February,3.4
1964,March,3.1
1964,April,2.7
1964,May,3.3
1964,June,3.3
1964,July,2.8
1964,August,3.3
1964,September,3.8
1964,October,3.3
1964,November,3.1
1964,December,1.9
1965,January,1.2
1965,February,0.7
1965,March,1.2
1965,April,0.2
1965,May,0
1965,June,-0.3
1965,July,0.5
1965,August,0.4
1965,September,-0.1
1965,October,-0.6
1965,November,-0.6
1965,December,0.1
1966,January,0.4
1966,February,0.5
1966,March,-0.2
1966,April,0.2
1966,May,-0.4
1966,June,-0.4
1966,July,-1.2
1966,August,-0.5
1966,September,-0.1
1966,October,0.2
1966,November,-0.2
1966,December,0
1967,January,0.4
1967,February,0.4
1967,March,0.3
1967,April,0.6
1967,May,1.4
1967,June,2.3
1967,July,2.2
1967,August,3
1967,September,3.1
1967,October,2.8
1967,November,3.6
1967,December,6
1968,January,5.1
1968,February,4.8
1968,March,5.3
1968,April,5
1968,May,4.7
