Label,Month,Year,Natural_Disasters,Close (Rs.)
JKH.N0000,8,1986,0.0,0.0
SUN.N0000,3,1990,0.0,12.5
GREG.N0000,4,1990,0.0,0.5
SELI.N0000,1,1991,0.0,550.0
SHAL.N0000,2,1991,0.0,575.0
KZOO.N0000,4,1991,0.0,125.0
GOOD.N0000,7,1991,0.0,535.0
JKH.N0000,7,1991,0.0,0.0
LPRT.N0000,7,1991,0.0,28.25
PARA.N0000,7,1991,0.0,45.75
ARPI.N0000,8,1991,0.0,70.5
BINN.N0000,8,1991,0.0,49.5
BRWN.N0000,8,1991,0.0,197.5
CARG.N0000,8,1991,0.0,350.0
CFIN.N0000,8,1991,0.0,230.0
CFLB.N0000,8,1991,0.0,28.25
CFT.N0000,8,1991,0.0,85.0
CIND.N0000,8,1991,0.0,26.5
COMB.N0000,8,1991,0.0,240.0
CTC.N0000,8,1991,0.0,49.375
CTCE.N0000,8,1991,0.0,48.5
CTHR.N0000,8,1991,0.0,130.0
DFCC.N0000,8,1991,0.0,1425.0
DIPD.N0000,8,1991,0.0,165.0
EAST.N0000,8,1991,0.0,34.0
GHLL.N0000,8,1991,0.0,6.125
HAYC.N0000,8,1991,0.0,175.0
HAYL.N0000,8,1991,0.0,547.5
HDEV.N0000,8,1991,0.0,12.0
HUEJ.N0000,8,1991,0.0,50.0
JKH.N0000,8,1991,0.0,306.625
LCEM.N0000,8,1991,0.0,7.0
LDEV.N0000,8,1991,0.0,54.0
LMF.N0000,8,1991,0.0,35.0
MIRA.N0000,8,1991,0.0,60.0
MORI.N0000,8,1991,0.0,250.0
OSEA.N0000,8,1991,0.0,12.75
PDL.N0000,8,1991,0.0,18.0
RICH.N0000,8,1991,0.0,385.0
SAMP.N0000,8,1991,0.0,22.666666666666668
SEYB.N0000,8,1991,0.0,40.8125
SHOT.N0000,8,1991,0.0,46.0
SUGA.N0000,8,1991,0.0,13.0
TILE.N0000,8,1991,0.0,56.5
ACL.N0000,9,1991,0.0,100.0
ASIR.N0000,9,1991,0.0,20.375
BHR.N0000,9,1991,0.0,54.964285714285715
CARG.N0000,9,1991,0.0,330.0
CFIN.N0000,9,1991,0.0,214.5
CFLB.N0000,9,1991,0.0,27.05
CHOU.N0000,9,1991,0.0,18.8125
CIC.N0000,9,1991,0.0,115.0
CIND.N0000,9,1991,0.0,24.0
CINV.N0000,9,1991,0.0,237.5
COMB.N0000,9,1991,0.0,221.98076923076923
CTC.N0000,9,1991,0.0,45.416666666666664
CTCE.N0000,9,1991,0.0,46.083333333333336
EQIT.N0000,9,1991,0.0,20.0
GHLL.N0000,9,1991,0.0,6.118421052631579
GRAN.N0000,9,1991,0.0,123.5
HAYC.N0000,9,1991,0.0,146.15625
HAYL.N0000,9,1991,0.0,405.0
HDEV.N0000,9,1991,0.0,10.75
HNB.N0000,9,1991,0.0,360.32142857142856
JKH.N0000,9,1991,0.0,285.125
KAPI.N0000,9,1991,0.0,17.057692307692307
KZOO.N0000,9,1991,0.0,125.0
LCEM.N0000,9,1991,0.0,6.178571428571429
LMF.N0000,9,1991,0.0,32.604166666666664
MORI.N0000,9,1991,0.0,250.0
NEST.N0000,9,1991,0.0,20.928571428571427
ONAL.N0000,9,1991,0.0,16.416666666666668
PARA.N0000,9,1991,0.0,40.0
PARQ.N0000,9,1991,0.0,90.0
PDL.N0000,9,1991,0.0,17.931818181818183
RICH.N0000,9,1991,0.0,360.0
SAMP.N0000,9,1991,0.0,20.144736842105264
SEYB.N0000,9,1991,0.0,44.65
SHOT.N0000,9,1991,0.0,39.125
SPEN.N0000,9,1991,0.0,338.1458333333333
SUGA.N0000,9,1991,0.0,11.897058823529411
TILE.N0000,9,1991,0.0,52.529411764705884
TKYO.N0000,9,1991,0.0,21.0625
ACL.N0000,10,1991,0.0,118.36363636363636
ASIR.N0000,10,1991,0.0,21.442307692307693
BHR.N0000,10,1991,0.0,59.654761904761905
CARG.N0000,10,1991,0.0,294.35714285714283
CFIN.N0000,10,1991,0.0,185.875
CFLB.N0000,10,1991,0.0,24.95
CHOU.N0000,10,1991,0.0,16.55
CIC.N0000,10,1991,0.0,114.3125
CIND.N0000,10,1991,0.0,29.69047619047619
CINV.N0000,10,1991,0.0,225.375
COMB.N0000,10,1991,0.0,236.21428571428572
CTC.N0000,10,1991,0.0,47.375
CTCE.N0000,10,1991,0.0,46.666666666666664
EAST.N0000,10,1991,0.0,33.95
EQIT.N0000,10,1991,0.0,19.0
GHLL.N0000,10,1991,0.0,6.273809523809524
GRAN.N0000,10,1991,0.0,135.03571428571428
HAYC.N0000,10,1991,0.0,150.41666666666666
HAYL.N0000,10,1991,0.0,371.3541666666667
HDEV.N0000,10,1991,0.0,7.25
HNB.N0000,10,1991,0.0,362.2
JKH.N0000,10,1991,0.0,300.890625
KAPI.N0000,10,1991,0.0,16.88235294117647
LCEM.N0000,10,1991,0.0,6.05
LMF.N0000,10,1991,0.0,36.31818181818182
LPRT.N0000,10,1991,0.0,28.0
MBSL.R0000,10,1991,0.0,83.35714285714286
MORI.N0000,10,1991,0.0,242.625
NEST.N0000,10,1991,0.0,22.32894736842105
ONAL.N0000,10,1991,0.0,17.083333333333332
OSEA.N0000,10,1991,0.0,13.0
PARA.N0000,10,1991,0.0,75.0
PARQ.N0000,10,1991,0.0,110.9423076923077
PDL.N0000,10,1991,0.0,17.823529411764707
RICH.N0000,10,1991,0.0,353.5
SAMP.N0000,10,1991,0.0,20.147727272727273
SELI.N0000,10,1991,0.0,0.0
SEYB.N0000,10,1991,0.0,44.625
SHOT.N0000,10,1991,0.0,25.25
SPEN.N0000,10,1991,0.0,318.69444444444446
SUGA.N0000,10,1991,0.0,12.784090909090908
TILE.N0000,10,1991,0.0,53.70238095238095
TKYO.N0000,10,1991,0.0,18.607142857142858
ACL.N0000,11,1991,0.0,137.25
ARPI.N0000,11,1991,0.0,70.5
ASIR.N0000,11,1991,0.0,22.75
BHR.N0000,11,1991,0.0,69.15625
BRWN.N0000,11,1991,0.0,180.0
CARG.N0000,11,1991,0.0,343.57142857142856
CFIN.N0000,11,1991,0.0,204.91666666666666
CFLB.N0000,11,1991,0.0,25.5625
CFT.N0000,11,1991,0.0,80.0
CHOU.N0000,11,1991,0.0,17.208333333333332
CIC.N0000,11,1991,0.0,131.03125
CIND.N0000,11,1991,0.0,71.875
CINV.N0000,11,1991,0.0,229.0
COMB.N0000,11,1991,0.0,241.07142857142858
CTC.N0000,11,1991,0.0,50.263888888888886
