Label,Month,Year,Close (Rs.),Severity
JKH.N0000,8,1986,0.0,55009.82
SUN.N0000,3,1990,12.5,55009.82
GREG.N0000,4,1990,0.5,55009.82
SELI.N0000,1,1991,550.0,55009.82
SHAL.N0000,2,1991,575.0,55009.82
KZOO.N0000,4,1991,125.0,55009.82
GOOD.N0000,7,1991,535.0,55009.82
JKH.N0000,7,1991,0.0,55009.82
LPRT.N0000,7,1991,28.25,55009.82
PARA.N0000,7,1991,45.75,55009.82
ARPI.N0000,8,1991,70.5,55009.82
BINN.N0000,8,1991,49.5,55009.82
BRWN.N0000,8,1991,197.5,55009.82
CARG.N0000,8,1991,350.0,55009.82
CFIN.N0000,8,1991,230.0,55009.82
CFLB.N0000,8,1991,28.25,55009.82
CFT.N0000,8,1991,85.0,55009.82
CIND.N0000,8,1991,26.5,55009.82
COMB.N0000,8,1991,240.0,55009.82
CTC.N0000,8,1991,49.375,55009.82
CTCE.N0000,8,1991,48.5,55009.82
CTHR.N0000,8,1991,130.0,55009.82
DFCC.N0000,8,1991,1425.0,55009.82
DIPD.N0000,8,1991,165.0,55009.82
EAST.N0000,8,1991,34.0,55009.82
GHLL.N0000,8,1991,6.125,55009.82
HAYC.N0000,8,1991,175.0,55009.82
HAYL.N0000,8,1991,547.5,55009.82
HDEV.N0000,8,1991,12.0,55009.82
HUEJ.N0000,8,1991,50.0,55009.82
JKH.N0000,8,1991,306.625,55009.82
LCEM.N0000,8,1991,7.0,55009.82
LDEV.N0000,8,1991,54.0,55009.82
LMF.N0000,8,1991,35.0,55009.82
MIRA.N0000,8,1991,60.0,55009.82
MORI.N0000,8,1991,250.0,55009.82
OSEA.N0000,8,1991,12.75,55009.82
PDL.N0000,8,1991,18.0,55009.82
RICH.N0000,8,1991,385.0,55009.82
SAMP.N0000,8,1991,22.666666666666668,55009.82
SEYB.N0000,8,1991,40.8125,55009.82
SHOT.N0000,8,1991,46.0,55009.82
SUGA.N0000,8,1991,13.0,55009.82
TILE.N0000,8,1991,56.5,55009.82
ACL.N0000,9,1991,100.0,55009.82
ASIR.N0000,9,1991,20.375,55009.82
BHR.N0000,9,1991,54.964285714285715,55009.82
CARG.N0000,9,1991,330.0,55009.82
CFIN.N0000,9,1991,214.5,55009.82
CFLB.N0000,9,1991,27.05,55009.82
CHOU.N0000,9,1991,18.8125,55009.82
CIC.N0000,9,1991,115.0,55009.82
CIND.N0000,9,1991,24.0,55009.82
CINV.N0000,9,1991,237.5,55009.82
COMB.N0000,9,1991,221.98076923076923,55009.82
CTC.N0000,9,1991,45.416666666666664,55009.82
CTCE.N0000,9,1991,46.083333333333336,55009.82
EQIT.N0000,9,1991,20.0,55009.82
GHLL.N0000,9,1991,6.118421052631579,55009.82
GRAN.N0000,9,1991,123.5,55009.82
HAYC.N0000,9,1991,146.15625,55009.82
HAYL.N0000,9,1991,405.0,55009.82
HDEV.N0000,9,1991,10.75,55009.82
HNB.N0000,9,1991,360.32142857142856,55009.82
JKH.N0000,9,1991,285.125,55009.82
KAPI.N0000,9,1991,17.057692307692307,55009.82
KZOO.N0000,9,1991,125.0,55009.82
LCEM.N0000,9,1991,6.178571428571429,55009.82
LMF.N0000,9,1991,32.604166666666664,55009.82
MORI.N0000,9,1991,250.0,55009.82
NEST.N0000,9,1991,20.928571428571427,55009.82
ONAL.N0000,9,1991,16.416666666666668,55009.82
PARA.N0000,9,1991,40.0,55009.82
PARQ.N0000,9,1991,90.0,55009.82
PDL.N0000,9,1991,17.931818181818183,55009.82
RICH.N0000,9,1991,360.0,55009.82
SAMP.N0000,9,1991,20.144736842105264,55009.82
SEYB.N0000,9,1991,44.65,55009.82
SHOT.N0000,9,1991,39.125,55009.82
SPEN.N0000,9,1991,338.1458333333333,55009.82
SUGA.N0000,9,1991,11.897058823529411,55009.82
TILE.N0000,9,1991,52.529411764705884,55009.82
TKYO.N0000,9,1991,21.0625,55009.82
ACL.N0000,10,1991,118.36363636363636,55009.82
ASIR.N0000,10,1991,21.442307692307693,55009.82
BHR.N0000,10,1991,59.654761904761905,55009.82
CARG.N0000,10,1991,294.35714285714283,55009.82
CFIN.N0000,10,1991,185.875,55009.82
CFLB.N0000,10,1991,24.95,55009.82
CHOU.N0000,10,1991,16.55,55009.82
CIC.N0000,10,1991,114.3125,55009.82
CIND.N0000,10,1991,29.69047619047619,55009.82
CINV.N0000,10,1991,225.375,55009.82
COMB.N0000,10,1991,236.21428571428572,55009.82
CTC.N0000,10,1991,47.375,55009.82
CTCE.N0000,10,1991,46.666666666666664,55009.82
EAST.N0000,10,1991,33.95,55009.82
EQIT.N0000,10,1991,19.0,55009.82
GHLL.N0000,10,1991,6.273809523809524,55009.82
GRAN.N0000,10,1991,135.03571428571428,55009.82
HAYC.N0000,10,1991,150.41666666666666,55009.82
HAYL.N0000,10,1991,371.3541666666667,55009.82
HDEV.N0000,10,1991,7.25,55009.82
HNB.N0000,10,1991,362.2,55009.82
JKH.N0000,10,1991,300.890625,55009.82
KAPI.N0000,10,1991,16.88235294117647,55009.82
LCEM.N0000,10,1991,6.05,55009.82
LMF.N0000,10,1991,36.31818181818182,55009.82
LPRT.N0000,10,1991,28.0,55009.82
MBSL.R0000,10,1991,83.35714285714286,55009.82
MORI.N0000,10,1991,242.625,55009.82
NEST.N0000,10,1991,22.32894736842105,55009.82
ONAL.N0000,10,1991,17.083333333333332,55009.82
OSEA.N0000,10,1991,13.0,55009.82
PARA.N0000,10,1991,75.0,55009.82
PARQ.N0000,10,1991,110.9423076923077,55009.82
PDL.N0000,10,1991,17.823529411764707,55009.82
RICH.N0000,10,1991,353.5,55009.82
SAMP.N0000,10,1991,20.147727272727273,55009.82
