Year,Month,Severity
1981,6,55009.82
1981,7,55009.82
1981,8,55009.82
1981,9,55009.82
1981,10,55009.82
1981,11,55009.82
1981,12,55009.82
1982,1,55009.82
1982,2,55009.82
1982,3,55009.82
1982,4,55009.82
1982,5,55009.82
1982,6,55009.82
1982,7,55009.82
1982,8,55009.82
1982,9,55009.82
1982,10,55009.82
1982,11,55009.82
1982,12,55009.82
1983,1,55009.82
1983,2,55009.82
1983,3,55009.82
1983,4,55009.82
1983,5,55009.82
1983,6,55009.82
1983,7,55009.82
1983,8,55009.82
1983,9,55009.82
1983,10,55009.82
1983,11,55009.82
1983,12,55009.82
1984,1,55009.82
1984,2,55009.82
1984,3,55009.82
1984,4,55009.82
1984,5,55009.82
1984,6,55009.82
1984,7,55009.82
1984,8,55009.82
1984,9,55009.82
1984,10,55009.82
1984,11,55009.82
1984,12,55009.82
1985,1,55009.82
1985,2,55009.82
1985,3,55009.82
1985,4,55009.82
1985,5,55009.82
1985,6,55009.82
1985,7,55009.82
1985,8,55009.82
1985,9,55009.82
1985,10,55009.82
1985,11,55009.82
1985,12,55009.82
1986,1,55009.82
1986,2,55009.82
1986,3,55009.82
1986,4,55009.82
1986,5,55009.82
1986,6,55009.82
1986,7,55009.82
1986,8,55009.82
1986,9,55009.82
1986,10,55009.82
1986,11,55009.82
1986,12,55009.82
1987,1,55009.82
1987,2,55009.82
1987,3,55009.82
1987,4,55009.82
1987,5,55009.82
1987,6,55009.82
1987,7,55009.82
1987,8,55009.82
1987,9,55009.82
1987,10,55009.82
1987,11,55009.82
1987,12,55009.82
1988,1,55009.82
1988,2,55009.82
1988,3,55009.82
1988,4,55009.82
1988,5,55009.82
1988,6,55009.82
1988,7,55009.82
1988,8,55009.82
1988,9,55009.82
1988,10,55009.82
1988,11,55009.82
1988,12,55009.82
1989,1,55009.82
1989,2,55009.82
1989,3,55009.82
1989,4,55009.82
1989,5,55009.82
1989,6,55009.82
1989,7,55009.82
1989,8,55009.82
1989,9,55009.82
1989,10,55009.82
1989,11,55009.82
1989,12,55009.82
1990,1,55009.82
1990,2,55009.82
1990,3,55009.82
1990,4,55009.82
1990,5,55009.82
1990,6,55009.82
1990,7,55009.82
1990,8,55009.82
1990,9,55009.82
1990,10,55009.82
1990,11,55009.82
1990,12,55009.82
1991,1,55009.82
1991,2,55009.82
1991,3,55009.82
