,node,stock_market_value(million),rdm_node
0,000001.SZ,171630.953579,1317
1,000002.SZ,141101.230991,1644
2,000004.SZ,3229.2051715,1167
3,000005.SZ,8388.16080426,433
4,000006.SZ,18203.984018,1532
5,000007.SZ,5260.4163759,867
6,000008.SZ,6659.7010764,1057
7,000009.SZ,24296.5024012,1634
8,000011.SZ,2620.3531274,559
9,000012.SZ,17376.0453742,288
10,000014.SZ,4834.87333239,1549
11,000016.SZ,13844.9013901,1042
12,000018.SZ,3290.774949,462
13,000019.SZ,3834.2359936,1313
14,000020.SZ,1812.85418091,1193
15,000021.SZ,22414.6690205,510
16,000023.SZ,3468.906,98
17,000025.SZ,3704.22527904,578
18,000026.SZ,5537.0484386,85
19,000027.SZ,17753.4332931,1005
20,000028.SZ,17380.3376121,949
21,000029.SZ,12010.6602,203
22,000030.SZ,6488.82326651,271
23,000031.SZ,34261.1722923,1474
24,000032.SZ,4829.58357686,127
25,000035.SZ,7583.42878145,1054
26,000036.SZ,8934.8476854,818
27,000037.SZ,4500.52768496,1493
28,000039.SZ,40567.8626863,647
29,000040.SZ,6866.61601992,156
30,000042.SZ,11687.2799618,601
31,000043.SZ,10204.5096648,1517
32,000045.SZ,7214.98130067,982
33,000046.SZ,66647.7420452,35
34,000048.SZ,9767.529002,497
35,000049.SZ,9790.1263026,1406
36,000050.SZ,12304.0193709,474
37,000055.SZ,5294.260755,663
38,000056.SZ,4268.7788056,1564
39,000058.SZ,10270.9739372,905
40,000059.SZ,12353.1631001,1614
41,000060.SZ,38321.8456135,352
42,000061.SZ,32796.6900336,1304
43,000062.SZ,38062.812074,1560
44,000063.SZ,66713.686628,855
45,000065.SZ,9299.8499869,1379
46,000066.SZ,23391.5815275,604
47,000068.SZ,9047.41507176,1124
48,000069.SZ,40399.7836935,959
49,000070.SZ,5414.58669594,631
50,000078.SZ,16076.894966,1069
51,000088.SZ,27500.7844855,1232
52,000089.SZ,23131.6092737,504
53,000090.SZ,13398.8717545,1211
54,000096.SZ,9425.1456,740
55,000099.SZ,10775.9320676,620
56,000100.SZ,50824.0997446,1461
57,000151.SZ,8129.5909935,715
58,000153.SZ,3930.5489,291
59,000155.SZ,5879.7,75
60,000156.SZ,4233.76406838,147
61,000157.SZ,50783.9531789,1121
62,000158.SZ,15743.0559,731
63,000159.SZ,5946.88167384,397
64,000166.SZ,53271.5166425,1125
65,000301.SZ,10196.6390447,1577
66,000333.SZ,84393.6754162,1529
67,000338.SZ,33119.0475224,1521
68,000400.SZ,18555.4703112,808
69,000401.SZ,17714.1805186,51
70,000402.SZ,42206.2666915,1187
71,000404.SZ,5639.8263426,1620
72,000407.SZ,5752.5429218,568
73,000409.SZ,4308.25367135,1084
74,000410.SZ,18702.7607309,1213
75,000411.SZ,7218.9829107,257
76,000413.SZ,19742.5840034,1347
77,000415.SZ,29472.9782037,197
78,000416.SZ,9313.81165008,1607
79,000417.SZ,9537.98138125,691
80,000418.SZ,10462.1479703,627
81,000419.SZ,5965.32401334,1292
82,000421.SZ,3959.77065646,450
83,000422.SZ,8067.292285,350
84,000423.SZ,35627.7077905,897
85,000425.SZ,31270.7813675,1176
86,000426.SZ,7951.75630626,1435
87,000428.SZ,7935.11316,966
88,000429.SZ,3650.40279348,245
89,000430.SZ,2832.3514052,443
90,000488.SZ,9912.18401589,133
91,000498.SZ,3251.28182094,531
92,000501.SZ,10397.275485,1586
93,000503.SZ,44000.381922,419
94,000504.SZ,6462.92664585,1048
95,000505.SZ,5157.97185663,500
96,000506.SZ,13933.9475246,599
97,000507.SZ,7837.2593467,97
98,000510.SZ,5338.88581114,1186
99,000511.SZ,14146.5738732,1636
100,000513.SZ,12051.2930181,437
101,000514.SZ,10361.5074502,1459
102,000516.SZ,15205.4852773,1047
103,000517.SZ,17686.5831673,296
104,000518.SZ,6475.77950897,357
105,000519.SZ,8346.94663505,1274
106,000521.SZ,5329.74971386,1336
107,000523.SZ,7684.49482801,965
108,000524.SZ,5838.3893173,736
