Label,Year,Month,Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.),Loan Rate,Inflation,Buy Rate,Election
ACL.N0000,1995,1,190.0,1.5,750.0,145950.0,20.7,2.4,49.96,0
ASIR.N0000,1995,1,33.911764705882355,2.0,1074.0,39195.0,20.7,2.4,49.96,0
BFL.N0000,1995,1,26.375,14.0,5850.0,161200.0,20.7,2.4,49.96,0
BOGA.N0000,1995,1,4.180555555555555,8.0,8100.0,34362.5,20.7,2.4,49.96,0
BRWN.N0000,1995,1,423.05,2.0,400.0,180700.0,20.7,2.4,49.96,0
CCS.N0000,1995,1,38.208333333333336,4.0,2450.0,96275.0,20.7,2.4,49.96,0
CFIN.N0000,1995,1,370.01666666666665,2.0,200.0,100000.0,20.7,2.4,49.96,0
CFLB.N0000,1995,1,30.34210526315789,26.0,12900.0,417246.0,20.7,2.4,49.96,0
CFVF.N0000,1995,1,21.8625,17.0,5000.0,112300.0,20.7,2.4,49.96,0
CIC.N0000,1995,1,86.83333333333333,1.0,150.0,15350.0,20.7,2.4,49.96,0
CIC.X0000,1995,1,82.05,1.0,100.0,10400.0,20.7,2.4,49.96,0
CIND.N0000,1995,1,136.21428571428572,2.0,600.0,81000.0,20.7,2.4,49.96,0
CINV.N0000,1995,1,276.0,2.0,1200.0,330200.0,20.7,2.4,49.96,0
COMB.N0000,1995,1,292.21875,6.5,2339.0,686439.5,20.7,2.4,49.96,0
CTC.N0000,1995,1,28.66176470588235,5.0,1900.0,58500.0,20.7,2.4,49.96,0
DFCC.N0000,1995,1,513.35,8.5,1058.0,535820.0,20.7,2.4,49.96,0
DIPD.N0000,1995,1,44.625,2.0,152.0,12825.0,20.7,2.4,49.96,0
DIST.N0000,1995,1,9.225,26.0,19300.0,173775.0,20.7,2.4,49.96,0
EAST.N0000,1995,1,23.9,2.0,1000.0,24000.0,20.7,2.4,49.96,0
GHLL.N0000,1995,1,5.055555555555555,5.0,3200.0,16087.5,20.7,2.4,49.96,0
GLAS.N0000,1995,1,27.7875,18.5,4700.0,129400.0,20.7,2.4,49.96,0
GRAN.N0000,1995,1,74.17105263157895,3.0,1000.0,70025.0,20.7,2.4,49.96,0
HAYC.N0000,1995,1,50.660714285714285,1.5,450.0,25200.0,20.7,2.4,49.96,0
HAYL.N0000,1995,1,184.9375,7.0,3772.5,753437.5,20.7,2.4,49.96,0
HNB.N0000,1995,1,404.5576923076923,1.0,200.0,105200.0,20.7,2.4,49.96,0
JKH.N0000,1995,1,235.28571428571428,3.0,912.5,249250.0,20.7,2.4,49.96,0
LMF.N0000,1995,1,27.2625,21.5,12600.0,331275.0,20.7,2.4,49.96,0
LWL.N0000,1995,1,81.8875,19.5,6200.0,505137.5,20.7,2.4,49.96,0
NDB.N0000,1995,1,403.3684210526316,7.0,6700.0,2581700.0,20.7,2.4,49.96,0
NEST.N0000,1995,1,51.25,2.0,400.0,20700.0,20.7,2.4,49.96,0
