Label,Year,Month,TradeVolume,ShareVolume,Turnover (Rs.)
JKH.N0000,1986,08,254.0,665786.0,88012358.5
SUN.N0000,1990,03,0.0,0.0,0.0
GREG.N0000,1990,04,0.0,0.0,0.0
SELI.N0000,1991,01,0.0,0.0,0.0
SHAL.N0000,1991,02,0.0,0.0,0.0
KZOO.N0000,1991,04,0.0,0.0,0.0
GOOD.N0000,1991,07,0.0,0.0,0.0
JKH.N0000,1991,07,0.0,0.0,0.0
LPRT.N0000,1991,07,0.0,0.0,0.0
PARA.N0000,1991,07,0.0,0.0,0.0
ARPI.N0000,1991,08,0.0,0.0,0.0
BINN.N0000,1991,08,0.0,0.0,0.0
BRWN.N0000,1991,08,0.0,0.0,0.0
CARG.N0000,1991,08,7.0,14695.0,5150548.75
CFIN.N0000,1991,08,1.5,1083.0,249090.0
CFLB.N0000,1991,08,1.0,1000.0,28250.0
CFT.N0000,1991,08,0.0,0.0,0.0
CIND.N0000,1991,08,1.0,200.0,5300.0
COMB.N0000,1991,08,6.0,1012.0,242880.0
CTC.N0000,1991,08,4.5,2800.0,139525.0
CTCE.N0000,1991,08,1.0,800.0,38800.0
CTHR.N0000,1991,08,1.0,100.0,13000.0
DFCC.N0000,1991,08,26.0,30.0,42900.0
DIPD.N0000,1991,08,0.0,0.0,0.0
EAST.N0000,1991,08,0.0,0.0,0.0
GHLL.N0000,1991,08,1.0,750.0,4562.5
HAYC.N0000,1991,08,2.0,350.0,61250.0
HAYL.N0000,1991,08,1.0,550.0,294500.0
HDEV.N0000,1991,08,3.0,5000.0,60000.0
HUEJ.N0000,1991,08,0.0,0.0,0.0
JKH.N0000,1991,08,3.5,625.0,190281.25
LCEM.N0000,1991,08,3.0,1300.0,9100.0
LDEV.N0000,1991,08,0.0,0.0,0.0
LMF.N0000,1991,08,6.0,1550.0,56500.0
MIRA.N0000,1991,08,0.0,0.0,0.0
MORI.N0000,1991,08,4.0,726.0,181500.0
OSEA.N0000,1991,08,0.0,0.0,0.0
PDL.N0000,1991,08,1.0,500.0,9000.0
RICH.N0000,1991,08,3.0,950.0,365750.0
SAMP.N0000,1991,08,3.0,15586.0,358478.0
SEYB.N0000,1991,08,12.0,7000.0,287975.0
SHOT.N0000,1991,08,4.0,10000.0,460000.0
SUGA.N0000,1991,08,8.0,7300.0,94900.0
TILE.N0000,1991,08,2.5,1000.0,57625.0
ACL.N0000,1991,09,3.0,500.0,50000.0
ASIR.N0000,1991,09,2.5,925.0,18481.25
BHR.N0000,1991,09,3.0,850.0,45050.0
CARG.N0000,1991,09,1.0,449.5,148335.0
CFIN.N0000,1991,09,3.0,2223.5,496835.0
CFLB.N0000,1991,09,7.0,9100.0,245700.0
CHOU.N0000,1991,09,1.5,500.0,9500.0
CIC.N0000,1991,09,3.5,1025.0,120625.0
CIND.N0000,1991,09,2.0,900.0,21600.0
CINV.N0000,1991,09,1.5,100.0,23750.0
COMB.N0000,1991,09,5.0,1050.0,233750.0
CTC.N0000,1991,09,2.0,163.0,7335.0
CTCE.N0000,1991,09,1.5,250.0,11550.0
EQIT.N0000,1991,09,1.0,1000.0,20000.0
GHLL.N0000,1991,09,6.0,6700.0,38250.0
GRAN.N0000,1991,09,1.0,275.0,32625.0
HAYC.N0000,1991,09,4.0,750.0,107787.5
HAYL.N0000,1991,09,2.0,125.0,49375.0
HDEV.N0000,1991,09,2.0,750.0,8125.0
HNB.N0000,1991,09,5.0,3350.0,1206000.0
JKH.N0000,1991,09,4.0,825.0,233875.0
KAPI.N0000,1991,09,2.0,1400.0,23800.0
KZOO.N0000,1991,09,1.0,2.0,250.0
LCEM.N0000,1991,09,3.0,2300.0,14375.0
LMF.N0000,1991,09,1.5,650.0,21375.0
MORI.N0000,1991,09,2.0,400.0,100000.0
NEST.N0000,1991,09,5.0,2025.5,42960.5
ONAL.N0000,1991,09,2.0,2000.0,32075.0
PARA.N0000,1991,09,1.0,56.0,4274.5
PARQ.N0000,1991,09,3.0,475.0,42750.0
PDL.N0000,1991,09,2.0,1300.0,23650.0
RICH.N0000,1991,09,8.5,10908.0,3926880.0
SAMP.N0000,1991,09,32.0,24300.0,493406.25
SEYB.N0000,1991,09,6.0,2300.0,98850.0
SHOT.N0000,1991,09,1.5,1500.0,57625.0
SPEN.N0000,1991,09,2.0,275.0,107250.0
SUGA.N0000,1991,09,6.0,8900.0,106800.0
TILE.N0000,1991,09,7.0,2300.0,121225.0
TKYO.N0000,1991,09,1.0,150.0,3250.0
ACL.N0000,1991,10,2.0,400.0,40625.0
ASIR.N0000,1991,10,2.0,900.0,20250.0
BHR.N0000,1991,10,3.0,1500.0,89250.0
CARG.N0000,1991,10,3.0,900.0,297225.0
CFIN.N0000,1991,10,2.0,225.0,47250.0
CFLB.N0000,1991,10,2.0,1900.0,49400.0
CHOU.N0000,1991,10,2.0,500.0,8500.0
CIC.N0000,1991,10,1.0,825.0,91181.25
CIND.N0000,1991,10,12.0,6100.0,199662.5
CINV.N0000,1991,10,1.0,500.0,112687.5
COMB.N0000,1991,10,2.0,200.0,47600.0
CTC.N0000,1991,10,2.0,375.0,17875.0
CTCE.N0000,1991,10,2.0,425.0,19900.0
EAST.N0000,1991,10,1.0,300.0,10200.0
EQIT.N0000,1991,10,1.0,1000.0,19000.0
GHLL.N0000,1991,10,5.0,4200.0,27050.0
GRAN.N0000,1991,10,2.0,250.0,33750.0
HAYC.N0000,1991,10,2.0,700.0,101862.5
HAYL.N0000,1991,10,3.0,275.0,121062.5
HDEV.N0000,1991,10,1.0,250.0,2812.5
HNB.N0000,1991,10,5.0,1184.5,429241.375
JKH.N0000,1991,10,4.0,1300.0,390550.0
KAPI.N0000,1991,10,3.0,1390.0,23630.0
LCEM.N0000,1991,10,1.0,1000.0,6000.0
LMF.N0000,1991,10,8.0,3475.0,125981.25
LPRT.N0000,1991,10,8.0,1400.0,39200.0
MBSL.R0000,1991,10,4.0,1050.0,88200.0
MORI.N0000,1991,10,1.0,125.0,30393.75
NEST.N0000,1991,10,5.0,1559.0,35623.0
ONAL.N0000,1991,10,3.0,6400.0,108800.0
OSEA.N0000,1991,10,2.0,1100.0,14300.0
PARA.N0000,1991,10,1.0,1000.0,75000.0
PARQ.N0000,1991,10,3.0,1099.0,148365.0
PDL.N0000,1991,10,3.0,1200.0,22800.0
RICH.N0000,1991,10,2.0,462.5,162937.5
SAMP.N0000,1991,10,35.0,24137.5,479806.25
SELI.N0000,1991,10,1.0,10.0,5000.0
SEYB.N0000,1991,10,8.5,2900.0,131875.0
SHOT.N0000,1991,10,3.5,2508.0,78873.0
SPEN.N0000,1991,10,3.0,1500.0,477000.0
SUGA.N0000,1991,10,41.0,58700.0,759781.25
TILE.N0000,1991,10,6.0,2500.0,135000.0
TKYO.N0000,1991,10,1.0,750.0,13812.5
ACL.N0000,1991,11,1.0,200.0,26000.0
ARPI.N0000,1991,11,1.0,1200.0,84600.0
ASIR.N0000,1991,11,2.0,750.0,16500.0
BHR.N0000,1991,11,3.0,1375.0,100318.75
BRWN.N0000,1991,11,1.0,100.0,18000.0
CARG.N0000,1991,11,3.0,200.0,77000.0
CFIN.N0000,1991,11,3.0,875.0,179200.0
CFLB.N0000,1991,11,1.5,1300.0,33700.0
CFT.N0000,1991,11,1.0,250.0,20000.0
CHOU.N0000,1991,11,1.0,450.0,7837.5
CIC.N0000,1991,11,2.0,300.0,40050.0
CIND.N0000,1991,11,9.5,3175.0,235375.0
CINV.N0000,1991,11,2.0,1000.0,230000.0
COMB.N0000,1991,11,4.0,587.5,146337.5
CTC.N0000,1991,11,7.0,1061.5,53492.75
CTCE.N0000,1991,11,1.5,650.0,32050.0
CTHR.N0000,1991,11,1.0,180.0,59310.0
DFCC.N0000,1991,11,8.5,1165.0,1281500.0
DIPD.N0000,1991,11,1.0,100.0,14425.0
EAST.N0000,1991,11,1.0,1000.0,34000.0
GHLL.N0000,1991,11,2.0,1500.0,9000.0
GRAN.N0000,1991,11,2.0,487.5,65812.5
HAYC.N0000,1991,11,3.0,784.0,122304.0
HAYL.N0000,1991,11,4.0,2595.0,1206675.0
HDEV.N0000,1991,11,6.0,9000.0,99000.0
HNB.N0000,1991,11,2.0,625.0,250400.0
JKH.N0000,1991,11,6.0,1000.0,320000.0
KAPI.N0000,1991,11,17.0,9328.0,249109.25
LCEM.N0000,1991,11,6.0,12700.0,82550.0
LMF.N0000,1991,11,9.5,7425.0,231237.5
MORI.N0000,1991,11,1.5,176.0,44878.0
NEST.N0000,1991,11,8.0,4400.0,103825.0
ONAL.N0000,1991,11,1.0,750.0,12750.0
OSEA.N0000,1991,11,9.0,6425.0,112000.0
PARA.N0000,1991,11,2.0,2712.0,212214.0
PARQ.N0000,1991,11,3.0,2200.0,239800.0
PDL.N0000,1991,11,4.0,3600.0,60875.0
RICH.N0000,1991,11,2.0,700.0,227500.0
SAMP.N0000,1991,11,54.0,67660.0,1757858.75
SEYB.N0000,1991,11,17.0,7800.0,335800.0
SHOT.N0000,1991,11,2.0,2833.0,174687.5
SPEN.N0000,1991,11,2.5,250.0,80000.0
SUGA.N0000,1991,11,47.5,50500.0,890562.5
TILE.N0000,1991,11,4.5,1996.0,102512.5
TKYO.N0000,1991,11,9.0,7225.0,212225.0
ACL.N0000,1991,12,3.0,350.0,68250.0
ARPI.N0000,1991,12,1.0,200.0,14000.0
ASIR.N0000,1991,12,2.5,450.0,11450.0
BHR.N0000,1991,12,3.0,1125.0,92025.0
BRWN.N0000,1991,12,1.0,150.0,20250.0
CARG.N0000,1991,12,3.0,700.0,157537.5
CFIN.N0000,1991,12,6.5,1149.0,315883.0
