Label,level_1,Pearson Correlation
AINV.N0000,Close (Rs.),-0.7529541668673957
ALUF.R0000,Close (Rs.),1.0
AMF.R0000,Close (Rs.),-1.0
ARPI.R0000,Close (Rs.),-1.0
ASCO.R0000,Close (Rs.),-0.9999910112090218
ATL.R0000,Close (Rs.),0.9620478050206914
BIL.R0000,Close (Rs.),1.0000000000000002
BLI.R0000,Close (Rs.),-0.9876328458760251
CABO.R0000,Close (Rs.),1.0
COMB.R0001,Close (Rs.),0.7083260015484113
CSF.W21,Close (Rs.),0.7450110074423121
CWL.N0000,Close (Rs.),-0.7855273044568422
DPL.R0000,Close (Rs.),-1.0
EML.N0000,Close (Rs.),-0.8969584899809772
GREG.W3,Close (Rs.),0.9706125330510454
GREG.W6,Close (Rs.),0.9498463165342977
GSF.R0000,Close (Rs.),1.0
HNB.R0000,Close (Rs.),1.0
HNB.R0001,Close (Rs.),1.0
INDO.N0000,Close (Rs.),-0.7624671575695428
JFIN.N0000,Close (Rs.),-0.7269477059028244
JKH.W0022,Close (Rs.),0.7434515927032626
LCBF.N0000,Close (Rs.),-0.8601021809106101
LCEY.R0000,Close (Rs.),-0.9410425921026764
LGIL.N0000,Close (Rs.),-0.8422845829073704
MBSL.R0000,Close (Rs.),0.9660297765037872
MDL.N0000,Close (Rs.),-0.898221832324514
MGT.R0000,Close (Rs.),-1.0
NIFL.R0000,Close (Rs.),0.9995045007541192
NTB.W0011,Close (Rs.),-0.7369796009607475
OFEQ.N0000,Close (Rs.),0.7112291865757895
ORIN.N0000,Close (Rs.),0.781223853036087
PABC.R0000,Close (Rs.),-0.9999999999999997
PCH.R0000,Close (Rs.),1.0000000000000002
PLR.N0000,Close (Rs.),-0.8405868079225913
REEF.W0017,Close (Rs.),-0.811265812027556
REEF.W0018,Close (Rs.),-0.8842414946832131
RHL.R0000,Close (Rs.),1.0
RHL.R0001,Close (Rs.),0.9731223800316136
SCAP.R0000,Close (Rs.),0.9948497511671096
SDB.R0000,Close (Rs.),1.0
SEMB.R0000,Close (Rs.),0.9999999999999999
SEYB.R0001,Close (Rs.),-1.0
SFIN.R0000,Close (Rs.),1.0000000000000002
WIND.N0000,Close (Rs.),-0.8359552958689699
